iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-89.81082791156041,-101.11956445996071,-148.61798358466513,-123.45049384986942,-100.92072841329146,-100.90392877014031,-187.49443243170708,-112.26611161221875,-104.01263247964368,-97.63368092574564
1,-77.23482277463518,-84.93702725859734,-124.62072501699056,-118.4833094122317,-68.61551095443151,-82.65863005720757,-73.15158277909349,-72.80850848401465,-79.41230261763114,-76.3820572622677
2,-77.23482277463518,-75.93155215225488,-120.77977662594574,-115.81552422870658,-64.59547085205128,-80.86531466484381,-65.35685753056799,-68.67194695589276,-67.73106435359783,-68.69896637647236
3,-51.97865004038462,-72.82542369414035,-120.3380705709177,-73.5699003487332,-53.2146161123147,-80.86531466484381,-61.972771797331276,-59.244242471882956,-67.73106435359783,-59.78799623736933
4,-49.45760260120396,-68.65315430320534,-119.58001235866148,-70.80023326924834,-47.961842436123845,-80.62392875682603,-61.972771797331276,-55.27555210130191,-51.054222374881185,-48.88062254346113
5,-47.819263894305195,-55.650101088986204,-119.58001235866148,-65.65755930069074,-47.51868019513208,-80.62392875682603,-61.972771797331276,-51.63051387199504,-49.31075078159792,-47.34793080214169
6,-47.16485645657543,-48.07462641327665,-57.987414036964665,-64.52970859059596,-44.86544774023373,-80.62392875682603,-61.94996574428032,-50.81299417341762,-45.55974309821012,-44.260218983017545
7,-46.053161741396266,-48.07462641327665,-57.987414036964665,-55.040846053734825,-43.32027765368466,-76.4739266366141,-60.368346942969865,-50.81299417341762,-45.55974309821012,-43.36602109342352
8,-46.053161741396266,-47.089388645732065,-55.20700072852409,-53.709230884301704,-43.32027765368466,-66.64316220811433,-52.24198373058798,-44.2341685398544,-45.37117352377287,-39.21974360339295
9,-46.053161741396266,-44.58558489639512,-55.20700072852409,-47.61166514834697,-43.32027765368466,-65.00065295871254,-50.02539517853454,-44.0568781507216,-43.63607644726312,-39.21974360339295
10,-46.053161741396266,-44.58558489639512,-52.16865431308083,-47.61166514834697,-42.926490080148376,-65.00065295871254,-50.02539517853454,-44.0568781507216,-40.557463144999815,-37.56468507447917
11,-46.053161741396266,-43.84346405465314,-52.16865431308083,-44.96365979489606,-42.926490080148376,-65.00065295871254,-50.02539517853454,-44.0568781507216,-39.91088401610084,-37.56468507447917
12,-46.053161741396266,-43.84346405465314,-52.00490261713783,-44.96365979489606,-42.926490080148376,-61.61537406113507,-50.02539517853454,-43.75368123182934,-39.91088401610084,-37.56468507447917
