iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-3990030.3780372394,-1431171.64387999,-4141250.9438899313,-1658839.8678031305,-1315297.3204066118,-1239349.2472345044,-2308909.2891429123,-325024.9604731679,-933910.9399851629,-3554382.280124411
1,-3802.7160928844514,-5602.691584993004,-7411.50483358276,-5943.75764886978,-12593.950862030139,-21267.540378313202,-10997.986284038303,-2230.783904357272,-5757.021894442203,-2780.90460519331
2,-6827.550832453976,-16756.677978386775,-5835.029608913676,-28109.408116451414,-33275.39519623872,-6994.586012537087,-13773.982237384756,-14173.006094459464,-12803.913284755301,-2918.8073939109768
3,-10080.26990429898,-1650.773984962827,-30296.603898181478,-10185.78023919901,-5384.5371253566755,-21228.861651844254,-58825.591120814854,-2717.804855988739,-11386.058956590865,-3936.784977421275
4,-14204.51566530128,-12967.91033672508,-29696.97802230098,-16703.395931921896,-25336.88371639729,-55647.501502264844,-9733.941759117668,-2779.8215170056196,-5097.78581247554,-4154.494789619692
5,-3153.716830552611,-31414.06853227004,-6881.250556638401,-22557.57633149225,-42703.48825168944,-8800.002261098582,-37331.78866505651,-34482.45700090752,-51143.07015653001,-12150.37010199326
6,-25708.43288578004,-9365.71730494621,-9172.66886696965,-14297.572869208794,-3251.498839058454,-14834.137426521122,-10582.240218853225,-5295.951247723117,-19259.275475872688,-7346.384654992691
7,-7798.780091812412,-4865.204180219365,-24496.574043221815,-9623.642534619672,-86473.29983069288,-20076.577693679385,-16014.246326744778,-62131.413738464194,-20626.582702006628,-15401.446831434681
8,-57423.381519002214,-25455.29383903544,-24128.32694718554,-7918.60196531901,-3895.200632870936,-13411.59634962383,-24997.895079576818,-4641.767490081195,-24674.32968287594,-21138.127991885525
9,-10097.43251104061,-15013.828339683252,-18360.69152270962,-128359.8294105139,-6073.184326221234,-14616.098854101689,-43757.49763096713,-5449.057179059304,-24665.50216754063,-3807.9793760151347
10,-85745.66789941586,-53241.101094224316,-5479.850590453965,-42429.98418892483,-23267.133276653833,-15350.888292133739,-35828.09036378001,-13590.326430244539,-47475.96308653953,-20486.133547387013
11,-53772.826015265244,-43082.700649223625,-30410.57540820058,-48183.727935451,-27346.03305082312,-9222.180913572727,-49276.19779315759,-58517.74106649814,-36905.75884007124,-35867.55845465863
12,-2376.605287269429,-20489.231794986452,-20124.554790871884,-73112.40072526627,-28516.754075037716,-17857.145625340527,-92887.23677800987,-17847.229785414384,-159901.05772040685,-30888.447001562337
13,-9053.591504965047,-14560.712847589275,-6948.404407347498,-48786.33121927005,-22837.478994223988,-50113.75044351612,-65602.23235849196,-21232.80707481817,-15297.780345251142,-38537.30744660177
14,-30829.494228659736,-53261.75974126886,-2803.5695053020854,-11315.206481393096,-21144.719011823792,-51546.76249580242,-57372.17089372388,-14464.27249827273,-43816.01102306074,-12129.148149839382
15,-33839.32120937439,-35288.01317258041,-30545.07206485587,-13129.054798753492,-84882.64546931023,-25474.42161649635,-106508.41297665572,-11475.616601908907,-43565.55359914954,-74203.01949175916
16,-8958.653269925624,-6245.290454825642,-19197.553351519557,-25274.05054879083,-26223.48692297259,-8041.653168787189,-6749.810463069938,-7598.470190130308,-94347.96831058718,-51416.013412580316
17,-30940.94279100425,-29729.31108289306,-13743.603487940145,-56062.7353154727,-57972.613527793,-24277.757622089222,-256393.6025499292,-23880.808344572222,-23401.812420872368,-16849.32562927826
18,-127042.71233253706,-21964.229075063682,-17192.355210433758,-47027.01784310495,-43273.96136714116,-32017.69070677936,-47707.82964301074,-51509.22563980413,-54560.85411967372,-29941.621133608616
19,-158632.85309400276,-30684.173985501184,-56974.76013390141,-18133.694582892138,-76981.07587165377,-24921.99824636554,-26931.34877596667,-40862.1552647861,-18486.95556877813,-85745.15745082316
20,-12961.584019075488,-48282.49018005882,-15341.885268701928,-31403.411845307517,-22341.622224380048,-15078.549852359623,-72615.8201520057,-54412.4502784864,-97066.74765723191,-143848.68417648476
21,-24831.149152093327,-25394.55380214546,-60339.92589878499,-47482.64453324214,-22950.647878745694,-14968.516003849047,-24867.48999415883,-60001.84578085726,-55910.216961822756,-15448.375578302983
22,-72272.1530532249,-110774.87815769295,-9854.538123522983,-15128.91159404223,-57164.44153858164,-50738.76185072055,-142117.8941949279,-11868.484583565827,-72270.86316274531,-112782.6790226255
23,-11839.54673469855,-177320.053747149,-38602.35548869983,-12470.407028065769,-46110.97828838207,-92856.21951618494,-12889.222164769591,-41632.22508716042,-22022.530269897037,-99802.41770135373
24,-55107.73591277071,-149324.46785017033,-47113.53995583026,-54131.8001169777,-33208.16876848175,-76579.23513222019,-175292.74362233462,-12181.616516483,-25935.073971777187,-21920.13998455635
25,-7031.295114188714,-45970.765960909404,-40456.99564155438,-26137.49798829789,-46423.61542991032,-68182.51549893308,-59213.44586609396,-50221.2714791881,-14032.701334589472,-43231.245831775974
26,-52331.35839086726,-101980.41414222709,-40430.24810866678,-17960.25762377539,-46928.2156768801,-15444.91978428156,-40594.20033227344,-28375.706663920995,-10847.262452889085,-54320.71046479473
27,-64888.45344612208,-52263.29685364236,-19704.88918984322,-23928.28319354177,-51493.72681396765,-19511.746901202438,-59857.07211808955,-34387.85397434776,-78107.1433832405,-25294.366903566515
28,-141279.81565655593,-126455.65078762633,-18661.684536660327,-15257.86262737202,-61798.01383826307,-60257.56407234451,-42523.81377015426,-76985.46810983858,-28970.65929553758,-43808.7737556499
29,-170017.9429044863,-101165.24016218627,-36994.90090483687,-28586.59766754147,-130732.04702082934,-16130.870353425868,-58510.43700375381,-56659.97063015815,-35215.839200229355,-122897.68480670625
30,-20112.346219382103,-56862.9834456996,-93080.90165652306,-49101.33612052873,-63976.360434279755,-14586.51984166554,-109656.47802534892,-39049.19411438786,-28127.62511791296,-23408.274606677354
31,-37682.61465075689,-57800.10551541445,-34952.86100080717,-28627.261439052585,-143568.50380529207,-48166.94152491041,-147126.75872298668,-46389.226692541466,-95371.60894646635,-62063.187237862454
32,-102379.53603020082,-57436.88180171443,-44773.67730350459,-87632.73633674662,-40773.09589526913,-26809.372791554033,-143833.76129622458,-45742.90819112655,-30766.782832151806,-15276.607016532369
33,-47031.22335509406,-151681.47675197045,-10341.411876880966,-13363.455621007797,-74148.27537458742,-82011.65595869013,-107165.95996765686,-54948.61654166466,-34983.95414803388,-210293.6699241082
34,-28421.88177575773,-48821.73551019109,-33393.157869831346,-11569.642924274362,-188706.36164934264,-4073.809725815581,-42843.34690821194,-43186.98033307296,-26147.90274151356,-167070.70136296167
35,-36033.23851131332,-49840.31024122633,-29081.840481717947,-179734.63862171024,-115676.70319851482,-38612.10725511992,-20199.414797622692,-9252.408373305256,-42324.60601822028,-143423.21190251867
36,-73082.3500022821,-63291.70611643296,-83333.60496395685,-111619.2962037193,-54304.51414641459,-23859.43675868998,-61496.921426763714,-61516.50889738179,-178016.8880088768,-13741.365531917054
37,-83015.5153522031,-23648.6071002083,-179726.75962136808,-25489.64588188073,-48237.239302886934,-16015.647217240581,-41939.13841231371,-75005.78482985412,-122328.90549453159,-153815.632517825
38,-32183.43783672197,-88623.20511185454,-181799.47233414897,-85057.16061559092,-29885.352116532355,-6611.141588037187,-189508.5126071048,-28827.26869862061,-24145.975381212374,-212908.71347863704
39,-251036.00645110078,-122427.55424038958,-86328.58363499992,-33760.68820422219,-43727.94583250121,-24380.483553222228,-104253.25495279543,-81800.92130918376,-26138.357818690474,-63803.81908622524
40,-81387.63780822464,-56606.16597057222,-238829.30693924928,-57148.968399425365,-89720.46185301925,-61787.97559718031,-98249.21278533843,-145395.82788022433,-33471.6871607142,-32962.2132919847
41,-117852.93876455561,-41780.803586804,-77126.98917203835,-123570.07858857552,-17282.39695587563,-133267.41274995342,-67328.70926227275,-142113.29553110054,-101028.83648908982,-131772.18783473433
42,-59417.40104337198,-41558.491692399635,-37130.914388674624,-16280.229573404866,-123194.30504679658,-59340.94849677639,-67892.00061727867,-13919.7944939644,-73262.99631769699,-118731.24735830483
43,-33112.7440114261,-23750.960581179646,-9405.282344282707,-12538.202445565132,-64984.02432870999,-42342.417781827295,-38139.88257651152,-331842.8965549624,-10331.659796296914,-24739.758052949845
44,-32387.337956904074,-153672.53345976654,-15272.438560655914,-7920.034790424234,-9319.445284185414,-34263.690264496436,-72385.13800166937,-22696.056836953583,-65252.75645949884,-37768.67633109881
45,-83262.81597709311,-30103.517835891675,-4443.45484049163,-46050.1319879588,-83993.55710100199,-19349.065839180977,-30935.838077397406,-123193.59822852054,-29789.96136897793,-79840.6649049392
46,-14359.48860745621,-23771.337039313603,-35387.9324129092,-27663.826395569766,-84324.58566437272,-156550.98070743147,-9021.093157763731,-41819.49848381787,-31420.936658861625,-14268.467919395343
47,-47270.28922418645,-41709.46482624597,-76372.10545045369,-99478.1115232443,-185531.4016523087,-41066.87501337152,-38923.38354464589,-9447.286106836775,-19004.149548897767,-28803.624708051786
48,-128166.34742756422,-101031.10091187966,-45641.74065185142,-320701.3742042366,-60915.59412890824,-30141.575294810285,-45733.889201932056,-18143.47762038981,-24474.78013544238,-74619.56741297635
49,-68371.23518626433,-5542.784098287621,-63308.78492519563,-22714.97831915217,-91462.10944011137,-15508.01620157728,-28890.969435829164,-14434.011363202266,-62794.87370881846,-65336.863393146195
50,-119717.66727399874,-149579.0104268565,-60246.77329978006,-13976.912200801333,-55420.08209005785,-119132.66540926049,-80416.64762476072,-47891.44495552727,-139835.5222815781,-37137.22753997969
