iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-85.75304566597629,-100.4781067226217,-97.88130781232677,-89.78188363633905,-97.54410947233765,-83.07160028879716,-82.97594536946195,-87.05737626967297,-110.32952767688445,-167.71358429500728
1,-85.75304566597629,-100.4781067226217,-97.88130781232677,-87.10146740985269,-97.54410947233765,-83.07160028879716,-82.97594536946195,-87.05737626967297,-110.32952767688445,-167.71358429500728
2,-85.75304566597629,-99.93704895913638,-97.88130781232677,-87.10146740985269,-97.54410947233765,-83.07160028879716,-82.97594536946195,-87.05737626967297,-110.32952767688445,-167.71358429500728
3,-84.63031903612914,-99.14795907501632,-97.88130781232677,-87.10146740985269,-97.54410947233765,-83.07160028879716,-81.4513377279539,-87.05737626967297,-103.96646841332051,-164.5221926291668
4,-84.63031903612914,-99.14795907501632,-87.74105890039942,-87.10146740985269,-97.4012288425229,-83.07160028879716,-81.4513377279539,-85.62962755364954,-82.69862316111637,-162.26676432276668
5,-84.63031903612914,-99.14795907501632,-87.74105890039942,-87.10146740985269,-85.98540349824765,-78.57508803645024,-81.4513377279539,-85.62962755364954,-82.69862316111637,-162.26676432276668
6,-82.96521185520302,-98.63732828424469,-87.74105890039942,-81.59089425247369,-85.98540349824765,-75.7317841724577,-81.4513377279539,-85.62962755364954,-82.69862316111637,-162.26676432276668
7,-82.96521185520302,-98.63732828424469,-86.4008202461417,-73.38769183345316,-85.98540349824765,-73.80362034704456,-81.4513377279539,-85.62962755364954,-82.69862316111637,-158.16267499748454
8,-81.30551574737183,-84.3628782667343,-86.4008202461417,-73.38769183345316,-85.98540349824765,-73.80362034704456,-80.43702252499843,-85.62962755364954,-82.69862316111637,-102.14807498138207
9,-81.30551574737183,-84.3628782667343,-85.24310839763491,-73.38769183345316,-84.72110379523323,-72.31567306596062,-80.43140037304288,-84.83516420291262,-82.52082222797641,-102.14807498138207
10,-81.22853108058143,-84.3628782667343,-85.24310839763491,-71.10652327501653,-78.49548713418702,-72.31567306596062,-80.43140037304288,-84.83516420291262,-79.44530760078074,-102.14807498138207
11,-81.22853108058143,-84.3628782667343,-85.24310839763491,-71.10652327501653,-78.49548713418702,-72.31567306596062,-79.7580091850605,-84.83516420291262,-79.44530760078074,-102.14807498138207
12,-81.22853108058143,-83.22796831275903,-85.24310839763491,-71.10652327501653,-78.18124637191897,-72.31567306596062,-79.7580091850605,-78.41022445870732,-79.44530760078074,-101.67409168938849
13,-81.22853108058143,-83.22796831275903,-85.24310839763491,-71.10652327501653,-77.65564880831302,-72.31567306596062,-79.7580091850605,-78.41022445870732,-79.44530760078074,-101.67409168938849
14,-79.34440343614887,-83.12082146317752,-84.95372423558281,-71.10652327501653,-77.65564880831302,-72.31567306596062,-79.7580091850605,-78.41022445870732,-79.44530760078074,-101.67409168938849
15,-79.34440343614887,-80.88629823946869,-84.95372423558281,-69.90248794058681,-77.65564880831302,-69.4606621614883,-75.97151694486183,-77.37645856932508,-71.71370854594156,-101.67409168938849
16,-79.34440343614887,-80.88629823946869,-82.76568792061678,-69.24329805872492,-77.65564880831302,-67.35069816323858,-75.97151694486183,-77.37645856932508,-69.56658014738372,-87.52741667023867
17,-79.34440343614887,-80.38332765048098,-82.76568792061678,-69.24329805872492,-77.65564880831302,-67.35069816323858,-75.97151694486183,-77.37645856932508,-69.56658014738372,-83.55492279674826
18,-79.34440343614887,-78.0717871312716,-82.76568792061678,-69.13210899676389,-77.57789456428078,-67.35069816323858,-75.97151694486183,-71.1745838507349,-69.56658014738372,-83.55492279674826
19,-79.34440343614887,-75.04740312939677,-82.76568792061678,-68.14763365565835,-77.57789456428078,-67.35069816323858,-75.97151694486183,-71.1745838507349,-69.56658014738372,-78.67632810570906
20,-79.34440343614887,-75.04740312939677,-75.26395966631054,-66.20617456236778,-77.57789456428078,-67.35069816323858,-75.97151694486183,-71.1745838507349,-69.56658014738372,-78.67632810570906
21,-76.17041244772396,-75.04740312939677,-75.26395966631054,-66.20617456236778,-75.75295247282935,-67.35069816323858,-75.97151694486183,-71.1745838507349,-69.56658014738372,-78.67632810570906
