iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-725330.9491422597,-2455824.0064027887,-3203331.122542072,-620763.2086702641,-1947183.7052704191,-634160.3293960307,-581899.3370322052,-1418015.5134366956,-473989.14312371216,-694346.7493245222
1,-657934.7131692698,-286254.262028113,-559127.2064573416,-510148.43085342,-435545.94912262843,-1618164.5804746165,-651975.2299121197,-2635530.593766253,-1502246.7897994304,-1044417.0801427803
2,-403625.8152850575,-130114.0869953456,-565805.7000175151,-432054.095794493,-1553012.1206918359,-237340.11696295475,-598960.4717573604,-448804.43108481064,-262338.9670509441,-64170.20405584014
3,-270809.164339527,-927379.3609838309,-285991.78464995325,-1031994.913943118,-184731.20577581075,-918166.5344250334,-979133.2671376363,-1816802.9045913368,-203211.4032024178,-291987.9159985393
4,-235064.74646928097,-531300.8520171025,-37361.998170527164,-150540.33445924602,-195203.12195981352,-1088964.178101749,-2329918.8701118156,-627285.9752054464,-830137.1498803468,-1733378.479933154
5,-2870544.408671462,-711411.3740967218,-2567023.9742074385,-3030402.3910903125,-728298.3167422231,-374513.961997292,-337265.0379878663,-1507461.7444063653,-1047447.85726349,-568985.515317774
6,-908954.4810035159,-589982.9055715781,-151010.0325748214,-603752.9073572379,-1151773.1182933156,-173956.94305878106,-699497.1464843698,-1020244.9076025176,-1347466.5503980897,-806400.2064878603
7,-1819912.2900815972,-95700.21113328439,-444795.20527433994,-1860065.2227510405,-204048.7102466956,-465217.50590889796,-299265.1256422443,-986085.545804061,-978456.3405257335,-80683.87786348767
8,-1663988.9551991385,-904294.6032411017,-279672.3576358575,-184886.5331340712,-2038840.4254919244,-1153799.1207245197,-1742963.361835362,-197627.41306799554,-3918730.2659324375,-1127240.1081650595
9,-849586.0603350399,-552434.2769842767,-521380.64560013206,-241413.47401015367,-1030319.7067634657,-1477206.6947471257,-2261880.7390999408,-667148.4890863635,-634764.0329353123,-281377.4090469683
10,-1154715.759630154,-1223668.1214539804,-158046.63860805336,-4999684.385623828,-2825407.1921342416,-3713874.7333980603,-339689.5752968438,-3487431.667800567,-956147.9444828975,-4048622.8387111686
11,-512613.5577356332,-761747.229510076,-552219.0968485025,-1402204.9145822744,-1458494.8368053923,-1936132.527831498,-529349.2668087648,-490682.3429462811,-920991.6196379398,-806952.9525255915
12,-3149258.0055544134,-959509.1428385158,-1572206.4670034945,-96854.33926332518,-265331.6998013555,-1038634.759836249,-275906.8646753095,-395028.85766721936,-1618510.781050422,-186778.83273563016
13,-926149.7233504527,-436922.01877950435,-323401.498380128,-277606.28812072997,-412431.36665983,-223943.72498025093,-218348.6541664343,-378671.08574405557,-326720.2286786573,-778798.7353134579
14,-472895.2082463121,-530359.4431815513,-784323.7793617803,-1321996.457843674,-863157.3395010245,-1439335.1389148468,-361309.6830655502,-797336.117855472,-563686.8598338107,-573536.4051937581
15,-248843.2497018908,-3487208.137359556,-1302365.1749287357,-108684.97553035113,-1557333.578227216,-2512767.8380553513,-716087.7278146764,-437314.0800305946,-3724615.8615404125,-3121885.4883265058
16,-502203.420368016,-1683438.3109977567,-2346441.9378675018,-2355811.628031719,-3513651.3705149023,-662938.6502538677,-300797.9826921737,-403900.43828894617,-137441.8740118292,-1724034.8050256628
17,-283344.59405947925,-507835.7724476594,-1127350.7589562386,-90836.64249174405,-1740592.0695075071,-881626.3130968448,-461255.03674200806,-2117071.256470885,-3643956.595532985,-412798.5434581362
