iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-89.81082791156041,-101.11956445996071,-148.61798358466513,-123.45049384986942,-100.92072841329146,-100.90392877014031,-187.49443243170708,-112.26611161221875,-104.01263247964368,-97.63368092574564
1,-89.81082791156041,-101.11956445996071,-86.06554258847041,-118.31199343880303,-95.18338866515194,-97.40921820363648,-187.49443243170708,-100.43012416795116,-101.40502059095635,-96.36450825386109
2,-89.81082791156041,-101.11956445996071,-85.9670484394733,-118.31199343880303,-94.70558275412658,-97.40921820363648,-110.75200406327392,-94.41143868078584,-101.40502059095635,-96.36450825386109
3,-89.81082791156041,-100.24537551310083,-85.9670484394733,-115.00370658299838,-94.70558275412658,-93.81360747837068,-104.78958331254849,-94.41143868078584,-100.1686000743922,-96.36450825386109
4,-89.81082791156041,-100.24537551310083,-85.9670484394733,-97.0779275932729,-84.92630401195157,-93.81360747837068,-103.68044460777104,-87.50625217745215,-88.77807996209447,-96.36450825386109
5,-78.38836480834641,-99.92073794859226,-85.9670484394733,-95.14312165890502,-82.8933348828423,-87.80166320244369,-89.44701231282808,-87.50625217745215,-84.33481640643339,-93.98082386546294
6,-77.74120831092372,-96.07816926785017,-84.21498343412287,-95.14312165890502,-80.6002072057724,-85.85426465052325,-89.44701231282808,-85.93345665084408,-84.33481640643339,-86.24040364568114
7,-77.11545412725549,-91.9543326839271,-83.2031409952489,-93.58882532790955,-77.69049792661815,-85.85426465052325,-87.59011190845811,-85.93345665084408,-84.33481640643339,-79.79392659316595
8,-77.11545412725549,-89.96450079211516,-83.2031409952489,-93.58882532790955,-77.39441985711984,-85.63566343610455,-87.59011190845811,-84.49314019765131,-80.2602488481285,-77.77771657610683
9,-74.76097626636648,-89.96450079211516,-82.45055614744757,-93.58882532790955,-77.39441985711984,-85.63566343610455,-71.83619837272481,-84.49314019765131,-80.2602488481285,-77.77771657610683
10,-74.76097626636648,-89.96450079211516,-82.45055614744757,-93.58882532790955,-77.39441985711984,-85.63566343610455,-71.83619837272481,-80.70617874209086,-80.2602488481285,-76.59767220579496
11,-74.76097626636648,-87.25192040951654,-80.18991801951837,-92.67560556413665,-77.39441985711984,-85.63566343610455,-71.55436832215828,-80.70617874209086,-79.67090461980195,-76.59767220579496
12,-74.76097626636648,-87.25192040951654,-80.18991801951837,-90.7872533632051,-76.18383474042872,-85.63566343610455,-71.55436832215828,-80.70617874209086,-79.67090461980195,-76.59767220579496
