iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-3990030.3780372394,-1431171.64387999,-4141250.9438899313,-1658839.8678031305,-1315297.3204066118,-1239349.2472345044,-2308909.2891429123,-325024.9604731679,-933910.9399851629,-3554382.280124411
1,-702945.7018428548,-1774861.1351048565,-1762502.4087810274,-530651.4746972554,-711454.1560557235,-631459.6522938237,-329589.27642522746,-969095.5640376959,-1420849.7929459698,-583562.0047785044
2,-2333607.6360265324,-793183.6865004746,-1043937.4664199044,-1921707.579541609,-1806840.971853743,-2653563.0897820434,-1167980.1759292937,-560863.6510582682,-667154.708753597,-1047337.1806209547
3,-528630.3482497721,-2039694.7520750707,-2005374.2064040469,-387219.0210367199,-2213875.309632743,-536181.8360931443,-1094062.3014897807,-468528.9793275014,-347197.86835719063,-602082.6676265849
4,-159541.4056021001,-2067339.537053215,-308092.7485235141,-2584334.8912848323,-693825.8379536583,-2660048.6052646823,-2510702.5247233436,-1267544.6641382682,-2160527.799391917,-1462493.278499659
5,-647284.687380976,-437958.3222591634,-2312356.33851555,-416030.82007198187,-1181630.8889326171,-2564396.1916616,-3193222.8847124656,-1192856.1891233264,-1501085.7499085253,-1093117.9672682802
6,-2984051.8934125714,-621171.1279954426,-1816063.3976477794,-680570.7871989098,-2387136.0653257053,-366069.39594175114,-1515996.0922370395,-717997.809711318,-389760.25863455917,-1155584.7729522265
7,-1758134.2458646111,-442665.5620982672,-728886.379057604,-2318363.83794488,-1418041.4267993069,-1558352.9279695228,-1381030.0159445312,-240625.4060056209,-881138.6291092939,-991433.0227483703
8,-1076578.1654222675,-1890911.5612267624,-1844536.4300788534,-1565655.9264992166,-278647.17249284877,-2070533.9251692083,-1164055.2696657893,-715705.2877099216,-306357.31108534033,-192909.7336357987
9,-381268.8136872231,-2582756.6374537116,-676947.134676962,-2372270.264110737,-344161.39676555584,-1328007.6082307973,-826710.9467196475,-153230.87954458332,-733260.7712935017,-1403112.6226051168
10,-736289.7284612157,-1133278.4243337677,-950667.2675275764,-2353832.0965817245,-486457.84196182934,-899186.089836094,-433781.4833540132,-1554091.4340864066,-1164014.0006484957,-1922282.8983708476
11,-923154.9950693935,-777071.4715639952,-385509.8454148795,-1019627.6607405606,-2704325.078025935,-1719340.4435592126,-1630144.090484571,-2092546.5224177046,-550967.1064606159,-2052853.0179346655
12,-1054005.2623711692,-1488416.490166224,-1040521.7872748473,-428171.5856883487,-2212379.909715504,-1070384.9408109277,-1398586.4435748889,-1608951.3517512176,-1951302.622423373,-1063793.3252305717
13,-2042479.8635405067,-781944.3052262316,-97011.2615094189,-1376031.2031301993,-1288271.9098585602,-3413903.509417222,-981994.2295911658,-901966.0257556005,-780439.8581326553,-934134.1228960741
14,-282197.18422076356,-870719.7524511986,-2621321.9975001076,-1993500.988867942,-2299249.8821219574,-5246871.510676975,-550985.7877315751,-1030427.7240437893,-137919.25009394076,-1161943.0505832043
15,-394560.71680134354,-2434329.383727217,-1379426.383273455,-391767.42541418935,-1441941.5739259457,-682415.3414484292,-2604421.7852930743,-1450211.822339906,-670066.367857645,-755720.9147846918
16,-1069177.8620170741,-1558762.0897394526,-1376984.4693525324,-863389.3819205678,-1140924.4996752942,-727436.3880759375,-1936936.269475873,-565717.764066697,-1335738.0099217938,-1577753.3911628244
17,-1133656.7720908513,-571103.5730711545,-837099.297710106,-557832.2113070488,-790784.0240919658,-3931723.043240885,-407689.6936917809,-1790483.411553794,-689149.0315172169,-510597.7947106811
18,-2752122.741050513,-2893048.5105220606,-941257.2601389904,-1242102.1710474163,-756570.0288841156,-408507.46924832324,-4863268.062943608,-799915.0931955498,-8690863.86023561,-1782282.5145111647
19,-319361.014664426,-4641103.394786054,-1029887.5063727386,-535486.9409719897,-523563.4530443735,-1503196.3963048428,-1162529.4670809119,-2454346.664301614,-338140.04243135423,-3130137.9922524397
20,-1300235.9029120232,-660019.6895476124,-1259088.7337286267,-407126.48872788186,-528154.5570152481,-926950.8341957334,-1190676.3738560374,-843716.0866115049,-442954.1004548621,-825302.3796691055
21,-853019.1578925373,-524739.09232435,-1085657.4770489642,-919143.6323197228,-629982.2682317276,-215542.11048313783,-648943.8725788337,-1490901.212250914,-820150.771290892,-2725486.577458483
22,-533785.3772790204,-603473.433998205,-800920.8575410035,-1061862.503651779,-432018.81596793776,-687168.6015094104,-550663.6571821126,-897205.6757900242,-804241.7267788664,-361405.25100016606
23,-2526348.516130943,-776275.7835432006,-541717.5514791054,-488362.1127637018,-1253167.5597556145,-3466795.629229923,-1197466.6690526034,-857547.39550616,-880075.0835423016,-649326.5052575617
24,-671773.1400230043,-1087495.4906031368,-1832864.8636369589,-592121.5710923587,-462896.428913196,-160183.27515999257,-326774.4106386674,-823533.1616063737,-3701795.5865782327,-1888376.4835488126
25,-685173.54795319,-386421.0518714509,-426572.3580911689,-986976.4444459458,-2457192.647478367,-498835.4083066662,-1870755.3106281299,-1123310.082192607,-715523.1542087258,-1097871.422048765
26,-1492379.8707726237,-980913.7023295086,-386986.5206417844,-839946.1145654353,-1308589.3011466144,-1542221.4335734297,-119020.0903804544,-2794547.2582434374,-167546.6619000296,-417588.3933681734
27,-467882.41956349753,-700438.3494341361,-2556734.4437207957,-549560.2121636383,-1873674.9326129323,-2529632.5581980366,-1167418.281068529,-583618.1465371676,-1744471.7650420328,-611182.5279248483
28,-3149786.0727045285,-409107.57484261633,-85305.18959413993,-1109864.5393667768,-462741.71368182113,-507105.43090437155,-300968.68268238415,-206793.02480584514,-917040.9657503706,-495646.4931233654
29,-7621888.724955915,-2585273.6754132784,-533067.388891898,-867627.4398814442,-895832.200846891,-779987.5782606058,-823355.3168883775,-1089350.6404343627,-759481.4291804335,-377086.39147915354
