iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-89.81082791156041,-101.11956445996071,-148.61798358466513,-123.45049384986942,-100.92072841329146,-100.90392877014031,-187.49443243170708,-112.26611161221875,-104.01263247964368,-97.63368092574564
1,-57.107198630557136,-57.45878921843368,-66.50314964233365,-46.87067246112919,-71.68288089252763,-60.09425528440459,-63.95276336054146,-51.926991598832885,-45.655209746088985,-56.1362002815022
2,-53.733552533148135,-49.84014959427155,-45.58123306239406,-40.78358427629935,-67.29992125613195,-51.809567211117354,-49.64132162340344,-39.32478075941272,-33.08810824371761,-48.069288970548804
3,-53.5153450074585,-46.07894148796365,-41.00359749433575,-37.06950103616669,-51.79518376119418,-49.28535432446469,-30.591014971974236,-37.34136954464621,-20.458065790510712,-32.605342746669656
4,-53.5153450074585,-33.95527552790686,-40.56633068401224,-34.91451318023346,-46.210098260818405,-40.834379601719476,-27.654801327827265,-37.34136954464621,-20.011393356455358,-32.605342746669656
5,-52.72317886413844,-30.231477647636062,-38.52141931883953,-34.91451318023346,-41.7285581521209,-37.7135437158846,-27.654801327827265,-36.08447645192423,-20.011393356455358,-32.605342746669656
6,-52.72317886413844,-30.231477647636062,-33.97939769597349,-33.09276760939454,-28.68514528235509,-33.407955458697536,-25.33623582637288,-29.333337869221797,-20.011393356455358,-30.103127596444182
7,-50.458857363798174,-30.231477647636062,-33.97939769597349,-23.925042632297874,-28.08946743658662,-33.407955458697536,-25.33623582637288,-22.653761924494052,-20.011393356455358,-30.103127596444182
8,-42.67593581470688,-26.164884631329638,-30.590979413905657,-23.925042632297874,-28.08946743658662,-33.407955458697536,-23.29527310349019,-19.88591819769409,-20.011393356455358,-29.790827165026123
9,-41.33231814957567,-23.411425241483457,-30.590979413905657,-23.178580470453888,-25.654838740132913,-33.407955458697536,-22.519991276118873,-19.88591819769409,-18.5933284330368,-20.5810373134089
10,-40.63235355889113,-23.411425241483457,-27.179227759028088,-23.178580470453888,-25.654838740132913,-20.782096126333492,-21.88127301702571,-19.88591819769409,-18.5933284330368,-19.422387128783303
11,-40.63235355889113,-22.2910276634868,-27.179227759028088,-23.178580470453888,-23.92447643259411,-20.782096126333492,-21.88127301702571,-19.229140978337817,-14.575284234487931,-19.422387128783303
12,-40.63235355889113,-22.2910276634868,-27.179227759028088,-20.51232678771705,-23.92447643259411,-20.782096126333492,-20.696728719902474,-19.229140978337817,-14.575284234487931,-18.11318850761544
13,-40.63235355889113,-20.205409478404512,-27.179227759028088,-20.51232678771705,-23.92447643259411,-20.782096126333492,-19.578316678314657,-17.65739035028876,-14.054926447972774,-18.11318850761544
