iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-3990030.3780372394,-1431171.64387999,-4141250.9438899313,-1658839.8678031305,-1315297.3204066118,-1239349.2472345044,-2308909.2891429123,-325024.9604731679,-933910.9399851629,-3554382.280124411
1,-682.8006210104334,-474.86156474012466,-1784.404746242585,-2022.3251573724538,-1481.5700432653641,-1582.3309225276573,-2141.4907841769855,-520.3016239952675,-690.0236649164942,-2054.2124793625426
2,-13495.359263364458,-34745.436860223715,-7106.735403452312,-3122.3243681526237,-22775.07823481698,-14796.633716029057,-11178.293272943527,-2724.6057146032554,-14485.452205575146,-5635.2796764720015
3,-7392.547686849919,-12384.644692652488,-7328.856682162507,-18903.58795704641,-21064.981539702225,-20364.208327457356,-39815.11511588124,-19170.328701873685,-11281.573817434746,-11500.578955838288
4,-40193.7056531685,-10820.399162218982,-21247.487948653965,-59356.655481577334,-30747.23582155221,-4393.9331370913105,-12984.177143645895,-7946.045679847674,-42631.00333490071,-4300.8724198173795
5,-56028.75952432667,-72536.13646026984,-9813.047672621928,-7584.462843995078,-54245.70308201818,-38516.01671273143,-85691.74286480507,-16027.67040107178,-15172.09744079343,-6080.193424249748
6,-20289.423382078145,-6254.6540698666195,-57923.8624370662,-35913.02173288046,-11848.572756197127,-31015.630524312557,-14755.906182301445,-16125.154530268253,-16906.317481369548,-6770.746966208149
7,-127722.72950422126,-26431.73274450522,-74119.84052369118,-3438.1784448078465,-17253.430602107597,-88387.1437949825,-19338.98087231795,-9365.622411858816,-56961.33700725702,-19358.29313690625
8,-13031.31577661108,-18365.868135606215,-13932.981079432457,-11935.555655810673,-99298.35528158667,-31625.246907926135,-285755.0088283708,-11817.235677625195,-7458.295575324828,-19220.026325159153
9,-56717.11240606244,-28066.55951752719,-12428.952873841554,-79038.59029494546,-118408.1232028989,-20121.229426506397,-48770.570022654305,-24145.57069852118,-3188.5903470852836,-7556.067638932689
10,-30913.276579434096,-51094.965193885044,-18703.20498175079,-18638.469405664844,-36277.01998600312,-36260.444696428014,-215254.4327555247,-8002.3075171545315,-50476.75759803229,-7378.3384683153845
11,-36354.79446012319,-87229.06708377968,-68584.11368539458,-127624.01745397368,-6481.037730932824,-53208.6883270846,-7044.283301185193,-92187.79537124568,-151237.367962906,-76369.76367389479
12,-9621.812531302205,-61904.8275869769,-29210.359109720503,-80142.51269445254,-49426.114956845384,-79927.55023915731,-80466.4241396777,-141096.37700052155,-60082.95666219389,-9426.930337802049
13,-52175.8714931974,-72351.54831822388,-93809.35229277077,-6757.487492736715,-23744.723514209454,-53708.808006841326,-39251.36054483694,-6765.494777355435,-14874.35462638879,-51901.537680736496
14,-106093.52841057656,-95266.90509039492,-127345.74995357555,-6934.48370303656,-97141.88447973682,-102401.49611114954,-95215.98906930524,-51000.82238645163,-27958.155043561033,-11190.06654814181
15,-36861.953069934774,-33398.696480706945,-23335.365734702435,-88398.5530258863,-65106.213794030584,-32576.290126405784,-262768.26993892237,-125864.09891426438,-100854.63783628274,-21577.557021742476
16,-72919.47946793966,-120818.91897627943,-190977.96025120447,-56063.99534432319,-272812.4295005774,-325554.80933858,-19030.763753680025,-28548.058730655026,-211759.6624126152,-85562.15240767965
17,-88197.82634260763,-155363.75075576516,-21555.81190511038,-35270.51813278849,-55814.82026880634,-31204.564816410617,-38502.004630753654,-19137.551717905786,-57411.223834919554,-51691.94276048237
18,-48201.67579978411,-163081.27285484943,-41799.8233702054,-42843.94273361907,-117527.090736802,-198196.02248092435,-201424.29161102494,-5593.917874223911,-102536.56891991204,-31068.651627291627
19,-123799.73494809802,-46301.866703194464,-159166.60785556905,-107590.72047942398,-52866.787471822456,-9775.61120601596,-268248.23880118306,-118263.24148700292,-95186.57290844432,-54117.40271368682
20,-59806.49402099903,-170715.34618181747,-52833.08999987075,-203448.3997472203,-11540.637814555772,-59383.46025076033,-129975.2800982497,-199457.62465937695,-123184.47732602275,-100839.69089724185
21,-101626.4165727637,-119418.84313338074,-149076.7836267837,-22412.970607348267,-247279.6448644805,-68238.77631343804,-110088.70711680151,-30501.49839920406,-293560.3244587819,-300690.52954179514
22,-30095.847678411184,-130430.87707755074,-30907.149416514083,-72107.58922410486,-79922.4895788969,-15626.916957020698,-139572.2277200015,-95526.97594933341,-80100.57067941889,-76917.5480183849
23,-39115.46110188235,-75959.13927235405,-80004.04109827029,-62439.477471972474,-167808.0232838847,-129719.35170512527,-95114.09134042861,-52121.284287384246,-247859.2218353119,-225325.35076367954
24,-79681.41073307321,-244954.48312640112,-116851.13866199247,-134038.96574279008,-183014.37633951232,-80020.11143567352,-26394.944457703597,-51317.49325090991,-99939.47583761867,-125388.41663400552
25,-114553.40676412923,-310313.5423332593,-35167.377166154416,-178230.68191315117,-573638.3235025561,-52395.74378937742,-66265.14523423175,-69485.90727263663,-93370.11878756338,-257236.32339552676
26,-349309.8769579412,-173585.2916114435,-113031.18458715857,-66597.31615488285,-99044.73069797645,-17865.44089295389,-144157.2702963755,-134361.04051106123,-103171.14254254592,-209981.28458599935
27,-244323.3382104537,-35665.02500517673,-29496.805687021246,-98925.78626250444,-78661.1327148665,-259958.48001560767,-221243.98293999964,-12577.41676164434,-156970.50015128814,-18212.072001134824
