iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-89.81082791156041,-101.11956445996071,-148.61798358466513,-123.45049384986942,-100.92072841329146,-100.90392877014031,-187.49443243170708,-112.26611161221875,-104.01263247964368,-97.63368092574564
1,-77.6023479108014,-84.00234677591531,-129.0690344953661,-118.177830936292,-68.9403307937778,-82.60996901929691,-72.96394939766073,-72.74395016925664,-78.98121015562205,-76.97321953046253
2,-77.6023479108014,-73.35647361679753,-125.75623472838637,-115.65662053135188,-64.74627210369805,-80.81619174500432,-65.1564135736148,-68.70288480919575,-67.33145326800499,-69.06709188172579
3,-52.278874510236896,-70.02204150611558,-125.75623472838637,-73.3658482012593,-53.470179989786274,-80.81619174500432,-61.99856507111902,-55.481143306069704,-67.33145326800499,-60.019484586270664
4,-49.483434105431286,-66.76089293106786,-123.87632248688914,-70.70631784000672,-48.27252371053665,-80.59461617195483,-61.99856507111902,-55.318844087388605,-59.32952671787574,-49.13157509824446
5,-47.823095718240786,-61.4402728343365,-55.105668170311894,-63.285217710127355,-47.82384987401966,-80.59461617195483,-61.99856507111902,-51.93008779282704,-45.650248601831905,-47.651882794839786
6,-47.16893585857359,-48.774031042320495,-55.105668170311894,-63.285217710127355,-47.82384987401966,-80.59461617195483,-61.99856507111902,-51.10064918513042,-41.58841558948216,-44.56215203291339
7,-45.78413106182232,-48.774031042320495,-52.19876346176411,-54.08682007232137,-46.229245005299546,-66.66290528357244,-58.98928233949129,-46.83330369011607,-41.58841558948216,-43.465130497391385
8,-45.78413106182232,-47.59929951680989,-52.19876346176411,-52.46645133077064,-46.229245005299546,-65.03825777944557,-52.1341571036142,-45.00371345937073,-41.29071709431078,-40.89621157061231
9,-45.78413106182232,-44.793782008086566,-52.19876346176411,-46.39638844139509,-46.229245005299546,-65.03825777944557,-49.7274421136742,-43.229227173471806,-38.29648001552697,-39.387539365614174
10,-45.78413106182232,-44.793782008086566,-49.026369961006225,-46.39638844139509,-46.229245005299546,-53.69246645668699,-49.7274421136742,-43.229227173471806,-38.29648001552697,-37.694413393020014
11,-45.78413106182232,-44.793782008086566,-49.026369961006225,-43.02438393049833,-46.194385598876096,-53.69246645668699,-48.77052719598583,-43.229227173471806,-38.280774559477386,-37.694413393020014
12,-45.70329935581957,-41.924144502319066,-49.026369961006225,-42.91890933065638,-46.194385598876096,-50.33872648945982,-48.71169225175083,-41.58887106954635,-38.280774559477386,-37.694413393020014
13,-45.70329935581957,-41.924144502319066,-49.026369961006225,-42.91890933065638,-46.122523464063676,-49.77346132360219,-48.41135972767758,-41.58887106954635,-38.280774559477386,-37.694413393020014
14,-44.228661325417704,-41.924144502319066,-48.112907520045496,-42.91890933065638,-44.04286933050095,-45.68524078323632,-48.1023717368721,-40.06423040770494,-38.280774559477386,-36.54556553171108
15,-44.228661325417704,-41.924144502319066,-48.112907520045496,-42.91890933065638,-44.04286933050095,-45.68524078323632,-44.917423175240856,-40.06423040770494,-38.280774559477386,-36.54556553171108
16,-44.228661325417704,-41.924144502319066,-48.112907520045496,-39.67178034357183,-43.1990339452601,-45.68524078323632,-44.917423175240856,-40.06423040770494,-38.280774559477386,-36.54556553171108
17,-44.228661325417704,-41.924144502319066,-48.112907520045496,-39.67178034357183,-43.1990339452601,-45.40920973772508,-44.917423175240856,-40.000628811566656,-38.03880874397623,-36.54556553171108
18,-42.58230914987764,-41.924144502319066,-46.11830262543377,-39.19974670102771,-42.80805747655657,-45.40920973772508,-44.52549633492352,-40.000628811566656,-38.03880874397623,-36.29559267744503
19,-41.651833184818194,-41.924144502319066,-46.11830262543377,-39.19974670102771,-42.80805747655657,-45.40920973772508,-43.56054104236445,-40.000628811566656,-38.03880874397623,-36.29559267744503
20,-41.651833184818194,-41.924144502319066,-46.11830262543377,-39.19974670102771,-42.80805747655657,-45.40920973772508,-43.56054104236445,-40.000628811566656,-38.03880874397623,-36.03164500772617
21,-41.65153717500009,-41.924144502319066,-46.11830262543377,-39.19974670102771,-42.80805747655657,-45.40920973772508,-43.56054104236445,-40.000628811566656,-36.19904316666144,-36.03164500772617
22,-41.65153717500009,-41.6131251457368,-46.11830262543377,-39.19974670102771,-42.80805747655657,-45.40920973772508,-43.56054104236445,-40.000628811566656,-36.19904316666144,-36.03164500772617
23,-41.30894287046567,-41.6131251457368,-45.73015190250348,-39.19974670102771,-42.80805747655657,-45.40920973772508,-43.56054104236445,-39.78213352690072,-36.19904316666144,-36.03164500772617
24,-41.30894287046567,-41.6131251457368,-45.73015190250348,-39.19974670102771,-42.80805747655657,-44.08665507669687,-43.56054104236445,-39.78213352690072,-36.19904316666144,-36.03164500772617
