iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-3990030.3780372394,-1431171.64387999,-4141250.9438899313,-1658839.8678031305,-1315297.3204066118,-1239349.2472345044,-2308909.2891429123,-325024.9604731679,-933910.9399851629,-3554382.280124411
1,-3750.281930582209,-5566.017994154827,-7413.216251510047,-5787.702824383854,-12447.145228955467,-21420.914888847135,-11097.040956708766,-2241.8087743098363,-5892.028916653332,-2714.7770202067245
2,-6747.007397793373,-16936.40160642268,-5812.753957784568,-27851.63744984556,-33020.440977481005,-6869.267911818815,-13947.815797546114,-14209.86951648263,-12940.576307304342,-2919.9563752847607
3,-11928.099093886933,-2493.40403522575,-30608.66049855241,-10442.515141389651,-5015.203204259333,-9544.195373314435,-59656.479588692644,-2549.965562444312,-11208.751521161663,-3975.90105994951
4,-11861.586570125372,-12522.236395927941,-21139.716231180086,-16638.94598159464,-26945.145520476293,-53439.32183280424,-12257.211682845207,-6578.017989855214,-5263.058568244736,-3995.501189285202
5,-4010.8686395337536,-32158.386619785524,-6151.750699722908,-16335.809342605275,-41574.89101336936,-9800.827304262402,-34400.499417394065,-31073.550400021006,-60653.77691523575,-11532.508349925285
6,-26131.147617532235,-9081.871713055209,-11113.694762459087,-15421.276581707592,-9590.992784735095,-27866.081567570764,-11607.876904334371,-5374.405255573437,-11439.841218693084,-3701.169807297475
7,-53952.185767361036,-3554.589687339448,-24987.38752543966,-19661.017522959228,-73939.1082797908,-23347.004146281597,-15209.012155893219,-25169.282491617385,-26532.84462741704,-18923.773766712435
8,-22623.434257520934,-20110.90471603383,-28907.90517337041,-71377.03712454469,-9630.911266400957,-13340.048904931391,-23555.169098458387,-44107.15012730319,-20712.29960244219,-18899.794176809664
9,-8080.3356260166875,-17754.51713043626,-23347.236788330454,-34421.119513697704,-16444.137813720823,-13958.846163933506,-43222.885476556155,-5293.520506885082,-19936.09224607856,-4796.287620413244
10,-82554.1236504122,-68003.50907062723,-10608.318618226385,-38599.92299544548,-18455.65475958198,-12169.477147248534,-42023.46562013005,-44847.470096817626,-49976.436593712846,-8235.915261065904
11,-39207.16832129404,-17043.670389901454,-28260.325469228577,-119686.92755732074,-23502.308485485853,-56905.88722020062,-43334.343595502374,-7753.8530070832085,-32216.505269519897,-46570.12369701517
12,-7838.10672761045,-29913.32959185339,-21592.820011621858,-49479.35796460361,-7550.249302593118,-10334.155321675726,-102147.57967290036,-11594.645297664147,-88573.29758963747,-46694.166921751224
