iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-89.81082791156041,-101.11956445996071,-148.61798358466513,-123.45049384986942,-100.92072841329146,-100.90392877014031,-187.49443243170708,-112.26611161221875,-104.01263247964368,-97.63368092574564
1,-88.1294998271382,-101.11956445996071,-148.61798358466513,-109.60642734815872,-100.92072841329146,-100.90392877014031,-95.83409118787993,-111.68795542373246,-93.91587253909573,-97.63368092574564
2,-88.1294998271382,-96.8677690446398,-112.22351983151864,-109.60642734815872,-100.92072841329146,-92.30980090636012,-81.3407613834607,-111.68795542373246,-93.91587253909573,-95.55356599752302
3,-85.18797555044708,-96.8677690446398,-111.42555262185004,-109.60642734815872,-100.92072841329146,-92.30980090636012,-81.12416425923097,-96.68168795849984,-93.91587253909573,-95.55356599752302
4,-85.18797555044708,-82.47838315681729,-111.30309436672408,-109.60642734815872,-100.92072841329146,-92.30980090636012,-81.12416425923097,-96.68168795849984,-90.53859780976344,-95.55356599752302
5,-85.18797555044708,-81.4530906126752,-111.30309436672408,-109.60642734815872,-100.92072841329146,-91.94690607219721,-81.12416425923097,-96.68168795849984,-89.41794765523785,-83.3109608149916
6,-73.29146403538246,-80.6927531040304,-109.11239363645905,-109.60642734815872,-100.92072841329146,-87.38633145998102,-78.18631989169887,-96.68168795849984,-86.5006506499987,-83.3109608149916
7,-73.29146403538246,-80.6927531040304,-107.78641491924336,-108.32096729592634,-96.76537056437357,-87.38633145998102,-78.18631989169887,-96.68168795849984,-83.75826314940163,-83.3109608149916
8,-73.29146403538246,-80.6927531040304,-104.87797263177961,-108.32096729592634,-79.16447641251797,-87.38633145998102,-78.18631989169887,-87.87828147688911,-83.75826314940163,-75.25792466873055
9,-73.29146403538246,-80.6927531040304,-104.87797263177961,-76.32772367464983,-79.16447641251797,-85.89485530367342,-76.22150916030466,-86.15648567801183,-83.75826314940163,-75.25792466873055
10,-73.29146403538246,-80.6927531040304,-70.55963604504505,-75.56531152268505,-79.16447641251797,-85.89485530367342,-76.22150916030466,-82.15744632669478,-83.75826314940163,-72.13617903388308
11,-71.79446188149927,-79.56654117714982,-70.55963604504505,-75.56531152268505,-75.55278139045895,-85.89485530367342,-76.22150916030466,-82.15744632669478,-83.75826314940163,-72.13617903388308
12,-71.79446188149927,-79.06074676749934,-70.55963604504505,-75.56531152268505,-75.55278139045895,-85.68997805387141,-76.22150916030466,-78.59185459768224,-75.93686658770515,-72.13617903388308
13,-71.31767137846259,-79.06074676749934,-67.10036345594605,-75.56531152268505,-75.55278139045895,-85.68997805387141,-76.22150916030466,-78.59185459768224,-72.14386789202338,-72.13617903388308
14,-71.31767137846259,-79.06074676749934,-67.10036345594605,-75.56531152268505,-75.55278139045895,-85.68997805387141,-76.22150916030466,-78.15215203888539,-72.14386789202338,-72.13617903388308
15,-71.31767137846259,-78.76997333934781,-66.69324392895183,-75.07869487052675,-75.55278139045895,-85.68997805387141,-74.61752883288054,-76.25228107734065,-72.14386789202338,-69.61118690067298
16,-70.42720364976955,-78.76997333934781,-66.69324392895183,-75.07869487052675,-72.01234265084001,-84.30474989030603,-73.57952375254837,-76.25228107734065,-72.14386789202338,-69.61118690067298
17,-69.89866958062561,-78.68864635818224,-66.69324392895183,-74.84358283460813,-72.01234265084001,-77.73964326294777,-73.57952375254837,-76.25228107734065,-70.44714922556025,-69.61118690067298
18,-69.89866958062561,-78.68864635818224,-66.69324392895183,-73.86736926632682,-72.01234265084001,-77.73964326294777,-69.7764532857372,-74.63074516111433,-70.44714922556025,-69.61118690067298
19,-69.89866958062561,-77.90537259703453,-66.69324392895183,-66.470405281725,-72.01234265084001,-76.65398406017263,-69.7764532857372,-74.63074516111433,-69.44280328849297,-69.61118690067298
20,-69.89866958062561,-72.40596236182932,-66.69324392895183,-65.78604653090531,-72.01234265084001,-76.65398406017263,-67.71681914574027,-71.89590912592197,-69.44280328849297,-65.9735877889893
21,-69.89866958062561,-70.14816020191735,-66.47215405422914,-65.3949819890199,-72.01234265084001,-76.65398406017263,-67.71681914574027,-70.45424003413481,-69.14961831342055,-65.9735877889893
22,-67.84462238716026,-70.14816020191735,-65.9546943458991,-65.3949819890199,-71.15550273973273,-76.65398406017263,-67.71681914574027,-70.45424003413481,-69.14961831342055,-65.9735877889893
23,-67.84462238716026,-70.14816020191735,-65.9546943458991,-65.3949819890199,-71.15550273973273,-76.65398406017263,-67.71681914574027,-70.45424003413481,-68.56262622102165,-65.9735877889893
24,-65.44533910163032,-69.61770510161884,-65.9546943458991,-65.3949819890199,-71.15550273973273,-76.65398406017263,-67.71681914574027,-70.45424003413481,-66.40023572833641,-64.16849647421499
25,-65.44533910163032,-69.61770510161884,-65.9546943458991,-65.3949819890199,-71.15550273973273,-76.65398406017263,-67.71681914574027,-66.78184560107793,-66.40023572833641,-61.92498521098165
26,-65.44533910163032,-69.61770510161884,-65.9546943458991,-65.3949819890199,-70.199736600679,-76.37563895068351,-67.71681914574027,-66.78184560107793,-66.259855589658,-61.92498521098165
27,-65.44533910163032,-69.61770510161884,-65.9546943458991,-63.85652653737971,-70.199736600679,-76.37563895068351,-67.71681914574027,-66.78184560107793,-64.38950200716769,-61.92498521098165
28,-65.44533910163032,-66.65972372877832,-65.9546943458991,-63.85652653737971,-70.16838385659668,-76.37563895068351,-67.71681914574027,-66.78184560107793,-64.38950200716769,-61.92498521098165
29,-65.44533910163032,-66.65972372877832,-65.9546943458991,-63.85652653737971,-70.16838385659668,-76.37563895068351,-62.70070970298785,-66.78184560107793,-61.44462942957634,-61.92498521098165
