iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-3990030.3780372394,-1431171.64387999,-4141250.9438899313,-1658839.8678031305,-1315297.3204066118,-1239349.2472345044,-2308909.2891429123,-325024.9604731679,-933910.9399851629,-3554382.280124411
1,-1381174.1197833312,-1289009.582234352,-702429.8486151089,-507038.07350158866,-3317925.5024072346,-215324.74168431287,-1223403.470226582,-3019061.1741271727,-1683824.6741525268,-2874506.996299766
2,-1188345.0552132055,-416080.342137419,-543907.47511118,-1258932.7600177226,-2571519.7943477654,-844550.6001992847,-5592968.354649707,-1014435.4490859837,-2178842.9703757064,-2041143.391209375
3,-621915.9337142175,-4088184.852244241,-540286.2079887928,-762905.9011760063,-603137.2275639131,-3314169.9597581094,-5567382.207928244,-1642307.0204622187,-2390124.937263642,-2059805.5139713334
4,-716139.0605440709,-761051.6201030696,-1064183.4587810095,-1291310.3314311672,-1625215.8222397042,-1327103.3731530046,-430872.37209325825,-2811203.708500916,-1493593.382753972,-433624.927179033
5,-871314.3299631681,-1302717.9137445604,-1721024.1329869123,-994743.9408785335,-1252196.251213253,-1021924.0928417832,-4245731.83189427,-179176.9950235839,-1665718.9228145177,-188313.51912901527
6,-3127023.7069784645,-203125.26349935908,-220286.81361977544,-788793.563350061,-1154812.9219802073,-1690961.4892437356,-2009223.8462401081,-3039184.5778501667,-867769.8603438251,-711522.7128872701
7,-2693979.297731477,-1579618.5135399261,-349728.3369195753,-545681.0702361205,-1196409.2403811824,-2067001.0444109852,-523583.0889600549,-1310939.0698088678,-444442.08437390084,-2499388.627579706
8,-1429208.170013675,-190337.16142723555,-350380.65955554077,-933488.8206026754,-317654.30753680144,-4819675.702799724,-1130473.085331754,-1110559.7661817428,-907774.4984038471,-117388.35273738232
9,-666080.8970679851,-776674.1078934928,-328597.2865571594,-199162.6940311295,-1431976.221211207,-2654025.944356292,-1167314.439600905,-1039895.7551241762,-1554550.037385349,-2920110.629303409
10,-1397888.2900134027,-316197.7699974952,-973142.4573121686,-535456.4959783506,-3093637.3588709375,-788130.646997281,-536967.572633103,-1824225.4130598346,-1437501.264536008,-972454.4120374585
11,-468926.1409784069,-666982.6717663733,-379265.89925584523,-1419871.3116592774,-1913156.3619621333,-51922.5939412357,-1611126.579942159,-1733375.1104213593,-805443.4261263402,-850243.6547290151
12,-3165308.0644416143,-1979987.2523619912,-629931.6250170467,-2371850.818206883,-638726.7617060848,-1476745.7495496161,-295037.37643004325,-653751.8970499411,-2752508.1862910655,-367764.1333239835
13,-993660.7409774876,-2037903.3777248,-753801.3596661089,-1951376.0430503779,-324629.9765536823,-3176195.0332004707,-1260338.0176072272,-1577718.2005038285,-702753.1474013682,-434018.63857057516
14,-487408.17383989756,-559420.5300620613,-595916.1811393856,-182602.2333677436,-1528142.5002417453,-691822.4764029414,-3735429.4423439577,-205705.5472078196,-2161171.301664735,-562230.6307878452
15,-2067303.8119933717,-2098996.253626186,-758874.3407137273,-991440.3911479044,-272225.61174478923,-1232433.105030289,-2069118.49879692,-335730.0697843808,-4456025.381345563,-994884.044082221
16,-689044.8430659948,-1837151.7929661649,-2048173.7554643783,-1513859.615740889,-3146520.3465871597,-1575114.0646498012,-773047.5577969581,-495334.38812103076,-1469697.2174019986,-818132.346942671
17,-1536165.329410376,-2693303.3531718906,-2012764.797459827,-2471891.604211988,-2163150.0788961714,-617273.0480419879,-1506828.0670568654,-1616631.1793182155,-1174379.8463970819,-771785.9578316566
18,-626161.561414167,-1394783.2637860253,-157082.10525728646,-1392441.0707063922,-662953.8223200517,-1823760.0359862437,-555381.80874717,-780379.7005667133,-1033946.2300442014,-2048725.39783433
19,-362506.7601303889,-309756.39530941186,-2104596.5403145105,-787682.2219362783,-304325.2483381692,-727598.014974135,-173859.08258037703,-1118233.9004576143,-448247.26790034206,-508282.6877345756
20,-896266.9258416578,-1380480.6006554172,-1691537.2474428988,-259021.21482451935,-866474.5368963429,-2794565.854661665,-95205.34380222484,-1089284.707059907,-1620351.532167727,-178162.17819987575
21,-7175810.097594179,-3353645.7396966065,-651255.8859409587,-343851.9199182244,-557469.5933459445,-873009.5617307916,-381815.7481199623,-1339649.9212491992,-816833.3951270292,-1683151.0510419742
22,-638944.0493802838,-599647.8636320982,-326752.92675704806,-1423325.3061814727,-820116.0618007437,-1672180.1245933734,-791638.2392997786,-1014776.4274377658,-944630.3663617831,-1753994.5661073541
23,-505679.2823884649,-492463.700699504,-502819.45619425154,-1598942.2915092553,-2043173.7250338416,-485794.87746634637,-206669.80347527005,-1054422.9070461085,-2741610.442641521,-1036329.7035892875
24,-561565.9592881454,-140451.41799835584,-833264.9897070746,-560421.1407034224,-1066360.3792794344,-772938.8696038953,-820359.7673093886,-3070140.047582143,-284904.8324484596,-433944.0165905277
25,-719915.6505610361,-730758.0350190147,-1548848.1291874982,-1131395.0403943243,-1952010.601030429,-512450.57488302956,-308934.59538911935,-1498673.6345714885,-2035305.7146462072,-344887.8148479492
26,-1146538.1320307169,-1269637.6366458985,-725188.0004362406,-1700609.2837373307,-504930.4430719588,-587747.6154622416,-1812634.1659965822,-467987.588600376,-440807.4287897589,-1149913.514788794
27,-555097.4574547717,-261204.20340250028,-356119.84769779793,-461676.18095182173,-630265.7104396971,-562971.5595448083,-349607.48902682564,-987613.8862323945,-1520620.7250089624,-499400.4227397082
