iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-89.81082791156041,-101.11956445996071,-148.61798358466513,-123.45049384986942,-100.92072841329146,-100.90392877014031,-187.49443243170708,-112.26611161221875,-104.01263247964368,-97.63368092574564
1,-75.69394831797496,-90.18481018719774,-135.9771914748282,-116.19244279758846,-75.01318712744893,-86.15507295322169,-76.18729125157518,-70.44526095887977,-76.68114095286327,-85.14670207061623
2,-74.96755484982346,-85.50628915470509,-132.1696174860693,-114.19726868406647,-72.4228615024335,-84.81800087119686,-71.57734927835199,-70.44526095887977,-68.58247746933294,-60.45242842271739
3,-57.52488258596259,-64.97473631021356,-75.24599299694103,-76.02842020595025,-65.6116980035777,-83.11323631824635,-65.10239488418148,-70.44526095887977,-66.2779666696165,-48.76094376947274
4,-57.52488258596259,-59.676991797470336,-73.2058524275005,-68.19135868191691,-65.6116980035777,-81.14684026903916,-63.09507317369969,-65.12742319636965,-66.16452996697323,-47.533099932823944
5,-57.268490939737966,-56.58852666828676,-67.78658365770593,-66.57688416425964,-62.91255371542651,-81.14684026903916,-58.5534362798617,-53.027524160723715,-62.43110059563605,-47.533099932823944
6,-55.8972791214931,-53.95475132698781,-67.78658365770593,-65.27003146900535,-60.54619502333555,-79.15072483933002,-57.2275475472191,-53.027524160723715,-59.97011273471355,-45.14525984098316
7,-53.641126646512404,-52.35680688111906,-63.20925270387602,-62.38555841513572,-57.15850803518548,-79.15072483933002,-49.06105809057668,-49.74659539351988,-58.33898154604875,-43.26758102157949
8,-53.641126646512404,-52.35680688111906,-60.40080990430602,-60.87629059780639,-54.641711453453794,-77.56738470792413,-49.06105809057668,-49.74659539351988,-58.33898154604875,-43.113176935701944
9,-50.74208592624373,-52.35680688111906,-60.07585478284882,-60.87629059780639,-52.196381287425474,-77.14686071364696,-49.06105809057668,-47.12076314340564,-55.90460907967331,-41.14672565157002
10,-50.74208592624373,-52.35680688111906,-60.07585478284882,-60.87629059780639,-52.196381287425474,-77.14686071364696,-48.32442363708549,-45.398347120424134,-44.323259555034475,-40.5691072122577
11,-50.3886824817735,-52.35680688111906,-60.07585478284882,-60.87629059780639,-52.196381287425474,-77.14686071364696,-48.32442363708549,-44.44514696430835,-43.80387763673453,-40.5691072122577
12,-48.69759764271783,-52.16244817104315,-58.5943426860893,-59.55900560850071,-49.956855588794454,-67.09568024544093,-48.05541064909828,-43.24500336151519,-43.80387763673453,-40.5691072122577
13,-48.69759764271783,-48.79440626432414,-58.5943426860893,-59.55900560850071,-41.59472296707658,-67.09568024544093,-48.05541064909828,-43.24500336151519,-43.80387763673453,-40.5691072122577
14,-48.69759764271783,-48.62866821188932,-47.9492786918533,-59.55900560850071,-41.59472296707658,-67.09568024544093,-47.06620213711343,-43.24500336151519,-40.739361867781795,-39.219702617996205
15,-48.69759764271783,-48.62866821188932,-45.74097463424781,-59.55900560850071,-41.59472296707658,-63.879832479093366,-47.06620213711343,-41.60340343457177,-40.739361867781795,-39.129355327507696
16,-47.60754237482583,-48.62866821188932,-45.74097463424781,-52.44128249687469,-41.59472296707658,-63.879832479093366,-47.06620213711343,-41.60340343457177,-40.739361867781795,-39.129355327507696
17,-47.60754237482583,-48.62866821188932,-45.74097463424781,-52.44128249687469,-41.59472296707658,-60.511438028972336,-47.06620213711343,-41.60340343457177,-40.21337381383198,-39.129355327507696
18,-47.60754237482583,-48.62866821188932,-44.667275735919745,-52.44128249687469,-41.59472296707658,-60.184290255024834,-47.06620213711343,-41.49745492904847,-40.21337381383198,-39.129355327507696
19,-47.60754237482583,-48.61112596292038,-44.667275735919745,-52.44128249687469,-41.59472296707658,-59.752636400446875,-47.06620213711343,-41.49745492904847,-40.21337381383198,-39.129355327507696
20,-47.60754237482583,-48.61112596292038,-44.667275735919745,-52.44128249687469,-41.59472296707658,-59.752636400446875,-47.06620213711343,-41.49745492904847,-40.21337381383198,-39.129355327507696
21,-47.60754237482583,-48.61112596292038,-44.31847008728926,-52.44128249687469,-41.59472296707658,-59.752636400446875,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
22,-47.60754237482583,-48.61112596292038,-44.31847008728926,-52.44128249687469,-41.59472296707658,-59.573775228025696,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
23,-47.60754237482583,-48.61112596292038,-44.31847008728926,-44.07637783722793,-41.59472296707658,-52.67081940662089,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
24,-47.60754237482583,-48.61112596292038,-44.06164771946553,-44.07637783722793,-41.59472296707658,-52.67081940662089,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
25,-47.415829268374736,-48.61112596292038,-44.06164771946553,-44.07637783722793,-41.5450547747818,-52.67081940662089,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
26,-47.415829268374736,-48.61112596292038,-44.06164771946553,-44.07637783722793,-41.5450547747818,-52.67081940662089,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
27,-47.415829268374736,-48.40113732703165,-44.06164771946553,-44.07637783722793,-41.5450547747818,-52.525535545915304,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
28,-47.415829268374736,-46.09474363346935,-44.06164771946553,-44.07637783722793,-41.5450547747818,-52.525535545915304,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
29,-47.415829268374736,-46.09474363346935,-44.06164771946553,-44.07637783722793,-41.5450547747818,-52.525535545915304,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
30,-47.415829268374736,-46.09474363346935,-44.06164771946553,-43.29102361725818,-41.5450547747818,-52.525535545915304,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
31,-47.415829268374736,-46.09474363346935,-44.06164771946553,-43.29102361725818,-41.5450547747818,-51.767543772924114,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
32,-47.415829268374736,-46.09474363346935,-44.06164771946553,-43.29102361725818,-41.5450547747818,-51.767543772924114,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
33,-47.415829268374736,-46.09474363346935,-44.06164771946553,-43.29102361725818,-41.5450547747818,-51.767543772924114,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
34,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
35,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
36,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
37,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-41.49745492904847,-40.21337381383198,-39.129355327507696
38,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-40.61180407141384,-40.21337381383198,-39.129355327507696
39,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-40.61180407141384,-40.21337381383198,-39.129355327507696
40,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-40.61180407141384,-40.21337381383198,-39.129355327507696
41,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-40.61180407141384,-40.21337381383198,-39.129355327507696
42,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-40.61180407141384,-40.21337381383198,-39.129355327507696
43,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-40.61180407141384,-40.21337381383198,-39.129355327507696
44,-47.415829268374736,-46.02160079885134,-44.06164771946553,-43.29102361725818,-41.5450547747818,-49.58494398765616,-46.8930362594643,-40.61180407141384,-40.21337381383198,-39.129355327507696
