iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-3990030.3780372394,-1431171.64387999,-4141250.9438899313,-1658839.8678031305,-1315297.3204066118,-1239349.2472345044,-2308909.2891429123,-325024.9604731679,-933910.9399851629,-3554382.280124411
1,-4480.572134603051,-10769.861366005009,-13574.323578111556,-13115.20805703056,-16615.116827533802,-40828.54979981027,-22750.20885129506,-5598.009726629445,-11573.631794656336,-3015.4741099255207
2,-17019.767280969154,-26848.75321735049,-18425.086598057344,-63087.85409720659,-44521.73994764944,-17748.11116147657,-34368.39777857131,-19887.041081611816,-25597.701407631997,-5379.056820447383
3,-8631.499567055615,-5684.921704211046,-8808.396527498604,-8253.054125236458,-31519.512905968055,-39866.34429106292,-97123.97845300483,-11230.218997821616,-4429.7665124395735,-3336.955089024511
4,-9000.998435396352,-39507.300120961634,-30692.02382457463,-8619.780203213028,-62182.90901050577,-23296.67098276451,-30766.822392272214,-18293.078094405115,-35284.49325335726,-10986.930777300566
5,-26005.741043416023,-37345.39146030406,-5424.662675385847,-43872.53784002962,-10770.926150024963,-33837.41651428561,-25877.306389321187,-6640.7053468040185,-40867.65981165343,-4995.906820342003
6,-21406.66968187974,-24729.195344183026,-53569.08343982172,-33917.332646229515,-13735.524112468132,-59129.72332856663,-47171.582734130774,-82230.1901633484,-58201.88771479012,-9438.931374014886
7,-9091.939112053258,-28131.685045671704,-18494.153294463813,-21248.05392516242,-14458.180816855553,-20020.76242845176,-31080.614580460147,-5136.074188738515,-33587.640719619056,-13677.622922124046
8,-98577.57817111813,-36263.19535190948,-16947.524510281793,-1709.0440082415741,-40586.286422647005,-10538.982297014049,-85504.6348898575,-8153.35493727591,-27504.65338183284,-26592.50964112917
9,-64722.913015015976,-25745.53778172924,-38459.85246342637,-66695.34508421477,-13873.480511592064,-32227.98113737067,-43952.935392008614,-18751.036374942145,-18764.21194765083,-21166.74134398141
10,-101955.07793411818,-33640.807050689655,-49767.67751024713,-11306.63564803563,-119426.6219147968,-92262.17075219518,-123342.59338405437,-6189.7732672518305,-65663.94956773758,-31881.669938294017
11,-36426.051113037116,-42480.85626553771,-20099.926457185447,-31547.514138515577,-45550.4105601373,-34847.4031280839,-33205.47791604008,-24949.68571838425,-46374.528814991645,-71802.39660058243
12,-33406.96779444594,-56982.98345583424,-27394.617524793895,-7741.792739723465,-27526.806203673987,-22708.71329863233,-14050.15399337743,-59198.33465598004,-172229.84619055118,-11840.475153962536
13,-11949.408107634348,-32422.524676198307,-39600.02349167912,-30805.840520067628,-29393.013625721727,-28207.000788265497,-88141.00758046412,-12555.25762420521,-85018.4673438745,-33766.450754173624
14,-39489.59498506262,-73294.23344569482,-92058.98586619031,-128568.86982787141,-31371.826149583438,-61639.37057117875,-7071.001402280158,-95896.20137923592,-56316.72172582734,-77856.20356004362
15,-107051.37554757376,-70391.82345459767,-46257.14896526642,-22195.60951095685,-52242.67725721839,-35017.60500437161,-23995.874198584745,-9246.104339293497,-31812.237012961075,-21107.56456297463
16,-269942.76986820454,-129340.75188253913,-96936.63587213802,-28462.85475629812,-74168.0126173077,-73879.91729581039,-170810.20032504422,-15406.767712482118,-40983.90806292138,-47971.67448301535
17,-156997.254070013,-44201.53254095945,-34493.21269913516,-21153.987696981563,-49462.855479027974,-27708.59184913087,-31401.41402050774,-59577.08622896879,-33290.55450456061,-38503.313717491736
18,-42122.59841820226,-67796.90366094839,-25393.82935792375,-36969.73117885719,-79316.18946040802,-202208.73625774443,-66572.83402419704,-15789.42723393726,-26135.92103724574,-64314.57608147193
19,-131864.68092999278,-115830.27416150723,-97479.99223044753,-17558.289721714194,-51004.32880488898,-38018.214150354586,-186044.32419744256,-120305.71822648543,-66258.38080805355,-148510.61660343275
20,-54183.45571622922,-84882.28974687157,-25923.438460300902,-44690.7474934565,-103635.53103679323,-72437.80832167107,-68746.0715586953,-126139.3103109619,-145865.24394835965,-176709.45737185972
21,-20433.063573684452,-301695.84449873946,-108292.53211794037,-160490.69854389658,-63279.2456430742,-89921.11323703002,-186348.18918572558,-67995.37677605361,-100705.84946521322,-18957.694898070582
22,-61512.09761276297,-52325.56938545492,-14622.424803975799,-88328.1579341533,-161065.78922380751,-3513.0455329304214,-120897.34123296491,-45923.5334663871,-77789.13018380299,-267441.9412525447
23,-86342.0723221504,-129558.33373233426,-81098.14047603818,-32412.724507040548,-52190.89063100376,-82402.96132862451,-12336.6860758494,-118717.97997967816,-112300.24717702497,-99585.20385411629
24,-82449.50671778513,-97814.79753123538,-46329.16795277373,-249025.96914543732,-54835.29954815309,-81210.48277435922,-404556.6186828325,-45767.96576506675,-101217.23349504174,-196089.2859398684
25,-75457.37916844082,-194925.63613709665,-67119.45481146243,-28816.32779492388,-339982.50427141134,-38254.116001215254,-85397.90762373206,-42600.23445744875,-20657.8258654214,-133605.35009573004
26,-49764.646814186526,-62467.60677452096,-27918.162134832055,-157659.70094858395,-105907.29270390116,-158131.983872697,-39353.4732170794,-37990.563907638105,-94044.33854386046,-59823.93904979355
27,-212512.1373185431,-60196.23531390293,-101901.40155803054,-52346.073569581284,-90431.73752667931,-30059.514396727893,-46781.18945560332,-180009.66153046046,-68254.78412468567,-12656.937879408943
28,-193509.59611369524,-41491.80191019691,-84742.19856197947,-118916.5575327318,-107069.23957809724,-18283.363214419638,-44476.81398560164,-193777.935498519,-56465.2518974039,-138449.91880848288
29,-220847.9079345846,-92806.56234206901,-114110.12539429516,-133077.35162522498,-239637.6624496358,-57364.7367382671,-56100.09145818249,-85640.69373817324,-145835.82138980212,-81531.856630446
30,-121544.57521441023,-67643.26025622166,-276259.4848350592,-81317.51201258803,-121280.91593554661,-79400.56125982417,-410312.6829612346,-74157.09052535497,-65714.97573666999,-64580.657281851854
31,-117826.5334955457,-29882.94320008694,-153727.83015396306,-133401.74136914007,-209252.56047754188,-38055.88084536595,-217604.49153451985,-40371.46561040137,-82836.56885060332,-120646.42677547841
32,-61965.37969685646,-50664.580504235775,-339174.2188100545,-123907.545471509,-155063.34825931268,-31763.948254267685,-155601.8933410864,-164204.2027778056,-10227.561610539306,-428064.4668806103
33,-175029.7140225991,-339615.6549084533,-29883.08439588108,-123593.50539516009,-138991.93847738797,-15783.384293974708,-110353.01331758013,-46548.401016512275,-45777.73782863525,-77161.38437313234
34,-341284.50676518556,-580946.5347998351,-41996.9718429125,-41780.01091337838,-159417.6824566492,-275759.13763023866,-157804.5399800926,-113105.16078619298,-94051.59261604189,-85123.57517046979
35,-227351.5218040742,-231899.63071941456,-241404.46884710126,-190357.42012128187,-127947.549372911,-162250.2504496245,-155689.69685285795,-236557.202793578,-114564.54800824268,-267957.681942719
36,-348036.1114179396,-450990.25001826114,-20168.36934047402,-82780.52468933768,-100481.99226595207,-208826.13435674174,-103831.14086977477,-445606.34134965774,-76435.21015049642,-161765.00403388936
37,-57003.31623112026,-45763.416428838114,-120345.49122144212,-46589.682817409506,-135518.27988889546,-45696.51552349792,-86052.34925679649,-120245.62891202825,-155372.66674457898,-118235.88421369017
38,-84763.13644442135,-177848.18936556022,-51211.48000536482,-40283.224504624784,-161224.87970990932,-178825.1450524112,-232211.04761817536,-51033.08794750005,-154608.34197464702,-246086.64467889897
39,-35759.92737674178,-140552.3419972238,-81552.26307992532,-137758.09973465855,-122562.15760520735,-78537.9499774837,-188339.33525834692,-79026.85586961324,-69051.99864891512,-36611.87173311005
40,-121661.24398921253,-177402.80101152355,-316884.3919175473,-132835.93780086076,-150125.12866682117,-42992.45394474552,-20900.291547001056,-45040.75205126071,-57382.83065477883,-55441.370723247746
41,-120822.64561817533,-141944.3472944062,-188930.55981653155,-158818.757735499,-67013.80715408298,-99903.40332582878,-167156.36295749884,-52513.05936345758,-155938.1707430824,-196067.13580014353
42,-172748.56873609844,-114554.03243450703,-85663.81251468687,-77256.7063131891,-211502.36745639693,-169332.31018887224,-75564.74684143107,-212978.15718640975,-326647.4770967858,-48822.55285150914
43,-192109.3470540539,-27222.902893555307,-207384.39523067392,-84881.65305750993,-187544.4374552086,-52710.96673666088,-78844.9724547486,-111722.30340445737,-115375.72474350064,-118057.06547796729
44,-72409.73175298117,-171235.0490014176,-94096.08175367312,-57687.05329793302,-144603.40817516125,-137154.57816548785,-77170.92391885212,-175722.2415621501,-452766.4947257119,-80643.26709046561
45,-168167.16738248238,-224260.47704343492,-88979.84162136662,-79238.71038437252,-237411.0097181693,-163839.6597676201,-521840.964961485,-191529.10851683049,-105381.37920555688,-84088.32337039575
46,-192282.695713344,-98166.88361427253,-250043.915960261,-139359.51660929684,-240189.4496682158,-176617.83422248287,-106403.49609365252,-65459.52917834723,-122961.98638601939,-58800.05992482985
47,-47917.15465062796,-162214.76334588474,-247432.12328847047,-192719.86192349822,-184220.04300784343,-108984.96952152914,-331198.712302085,-145578.27575664152,-67851.19747550483,-247931.06071059307
48,-106337.25110739087,-79968.52564776097,-79037.17319793062,-84570.49330397396,-216529.60408094668,-97381.28460543712,-98555.3951754482,-88502.67866697966,-23415.337986919832,-162273.0484366773
49,-73306.26987961662,-110279.14929246489,-38485.97296640928,-64902.42551315611,-93490.15001173035,-352705.1241691905,-226855.4168830351,-34704.31941689766,-671813.1802877552,-68499.81947627391
50,-128483.56661868324,-48873.04011636768,-245742.76623589345,-55226.5416979884,-174341.92752923464,-52408.80963643284,-77990.56606103093,-104696.64611147202,-76799.52572726653,-121196.89849615372
